source_file,cell_id,patient,lineage,old_label,new_label,technology,new_label_lvl2,new_label_pelka,object_lineage,moved_lineage
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB1 (B IGD+IgM+),B,scRNA,B,cB1 (B IGD+IgM+),B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB1 (B IGD+IgM+),B,scRNA,B,cB1 (B IGD+IgM+),B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB3 (B CD40+ GC-like),Bgc-CD40,scRNA,Bgc-CD40,cB3 (B CD40+ GC-like)_CD40+,B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB2 (B GC-like),Bgc-GPR183,scRNA,Bgc-GPR183,cB2 (B GC-like)_GPR183+,B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB3 (B CD40+ GC-like),Bgc-CD40-prolif,scRNA,Bgc-CD40-prolif,cB3 (B CD40+ GC-like)_MK167+,B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB1 (B IGD+IgM+),B,scRNA,B,cB1 (B IGD+IgM+),B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB3 (B CD40+ GC-like),Bgc-CD40-prolif,scRNA,Bgc-CD40-prolif,cB3 (B CD40+ GC-like)_MK167+,B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB1 (B IGD+IgM+),B,scRNA,B,cB1 (B IGD+IgM+),B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB1 (B IGD+IgM+),B,scRNA,B,cB1 (B IGD+IgM+),B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB1 (B IGD+IgM+),B,scRNA,B,cB1 (B IGD+IgM+),B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB3 (B CD40+ GC-like),Bgc-CD40,scRNA,Bgc-CD40,cB3 (B CD40+ GC-like)_CD40+,B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB1 (B IGD+IgM+),B,scRNA,B,cB1 (B IGD+IgM+),B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB2 (B GC-like),Bgc,scRNA,Bgc,cB2 (B GC-like),B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB3 (B CD40+ GC-like),Bgc-CD40,scRNA,Bgc-CD40,cB3 (B CD40+ GC-like)_CD40+,B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB3 (B CD40+ GC-like),Bgc-CD40-prolif,scRNA,Bgc-CD40-prolif,cB3 (B CD40+ GC-like)_MK167+,B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB1 (B IGD+IgM+),B,scRNA,B,cB1 (B IGD+IgM+),B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB2 (B GC-like),Bgc-GPR183,scRNA,Bgc-GPR183,cB2 (B GC-like)_GPR183+,B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB1 (B IGD+IgM+),B,scRNA,B,cB1 (B IGD+IgM+),B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB2 (B GC-like),Bgc,scRNA,Bgc,cB2 (B GC-like),B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB2 (B GC-like),Bgc,scRNA,Bgc,cB2 (B GC-like),B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB1 (B IGD+IgM+),B,scRNA,B,cB1 (B IGD+IgM+),B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB2 (B GC-like),Bgc,scRNA,Bgc,cB2 (B GC-like),B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB1 (B IGD+IgM+),B,scRNA,B,cB1 (B IGD+IgM+),B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB3 (B CD40+ GC-like),Bgc-CD40,scRNA,Bgc-CD40,cB3 (B CD40+ GC-like)_CD40+,B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB1 (B IGD+IgM+),B,scRNA,B,cB1 (B IGD+IgM+),B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB2 (B GC-like),Bgc,scRNA,Bgc,cB2 (B GC-like),B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB2 (B GC-like),Bgc-GPR183,scRNA,Bgc-GPR183,cB2 (B GC-like)_GPR183+,B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB1 (B IGD+IgM+),B,scRNA,B,cB1 (B IGD+IgM+),B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB2 (B GC-like),Bgc-GPR183,scRNA,Bgc-GPR183,cB2 (B GC-like)_GPR183+,B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB3 (B CD40+ GC-like),Bgc-CD40,scRNA,Bgc-CD40,cB3 (B CD40+ GC-like)_CD40+,B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB1 (B IGD+IgM+),B,scRNA,B,cB1 (B IGD+IgM+),B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB1 (B IGD+IgM+),B,scRNA,B,cB1 (B IGD+IgM+),B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB2 (B GC-like),Bgc-GPR183,scRNA,Bgc-GPR183,cB2 (B GC-like)_GPR183+,B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB1 (B IGD+IgM+),B,scRNA,B,cB1 (B IGD+IgM+),B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB2 (B GC-like),Bgc,scRNA,Bgc,cB2 (B GC-like),B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB3 (B CD40+ GC-like),Bgc-CD40-prolif,scRNA,Bgc-CD40-prolif,cB3 (B CD40+ GC-like)_MK167+,B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB3 (B CD40+ GC-like),Bgc-CD40-prolif,scRNA,Bgc-CD40-prolif,cB3 (B CD40+ GC-like)_MK167+,B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB2 (B GC-like),Bgc,scRNA,Bgc,cB2 (B GC-like),B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB1 (B IGD+IgM+),B,scRNA,B,cB1 (B IGD+IgM+),B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB1 (B IGD+IgM+),B,scRNA,B,cB1 (B IGD+IgM+),B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB2 (B GC-like),Bgc-GPR183,scRNA,Bgc-GPR183,cB2 (B GC-like)_GPR183+,B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB1 (B IGD+IgM+),B,scRNA,B,cB1 (B IGD+IgM+),B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB2 (B GC-like),Bgc-GPR183,scRNA,Bgc-GPR183,cB2 (B GC-like)_GPR183+,B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB1 (B IGD+IgM+),B,scRNA,B,cB1 (B IGD+IgM+),B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB1 (B IGD+IgM+),B,scRNA,B,cB1 (B IGD+IgM+),B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB1 (B IGD+IgM+),B,scRNA,B,cB1 (B IGD+IgM+),B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB1 (B IGD+IgM+),B,scRNA,B,cB1 (B IGD+IgM+),B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB3 (B CD40+ GC-like),Bgc-CD40,scRNA,Bgc-CD40,cB3 (B CD40+ GC-like)_CD40+,B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB2 (B GC-like),Bgc-GPR183,scRNA,Bgc-GPR183,cB2 (B GC-like)_GPR183+,B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB2 (B GC-like),Bgc,scRNA,Bgc,cB2 (B GC-like),B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB1 (B IGD+IgM+),B,scRNA,B,cB1 (B IGD+IgM+),B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB1 (B IGD+IgM+),B,scRNA,B,cB1 (B IGD+IgM+),B,FALSE
Bcells_fineTyping_all_genes.rds,C104_T_1_1_0_c1_v2,C104,B,cB1 (B IGD+IgM+),B,scRNA,B,cB1 (B IGD+IgM+),B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB3 (B CD40+ GC-like),Bgc-CD40,scRNA,Bgc-CD40,cB3 (B CD40+ GC-like)_CD40+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB3 (B CD40+ GC-like),Bgc-CD40,scRNA,Bgc-CD40,cB3 (B CD40+ GC-like)_CD40+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB3 (B CD40+ GC-like),Bgc-CD40-prolif,scRNA,Bgc-CD40-prolif,cB3 (B CD40+ GC-like)_MK167+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB3 (B CD40+ GC-like),Bgc-CD40-prolif,scRNA,Bgc-CD40-prolif,cB3 (B CD40+ GC-like)_MK167+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB2 (B GC-like),Bgc,scRNA,Bgc,cB2 (B GC-like),B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB3 (B CD40+ GC-like),Bgc-CD40,scRNA,Bgc-CD40,cB3 (B CD40+ GC-like)_CD40+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB3 (B CD40+ GC-like),Bgc-CD40-prolif,scRNA,Bgc-CD40-prolif,cB3 (B CD40+ GC-like)_MK167+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB2 (B GC-like),Bgc,scRNA,Bgc,cB2 (B GC-like),B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB2 (B GC-like),Bgc,scRNA,Bgc,cB2 (B GC-like),B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB3 (B CD40+ GC-like),Bgc-CD40-prolif,scRNA,Bgc-CD40-prolif,cB3 (B CD40+ GC-like)_MK167+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB2 (B GC-like),Bgc-GPR183,scRNA,Bgc-GPR183,cB2 (B GC-like)_GPR183+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB2 (B GC-like),Bgc,scRNA,Bgc,cB2 (B GC-like),B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB3 (B CD40+ GC-like),Bgc-CD40-prolif,scRNA,Bgc-CD40-prolif,cB3 (B CD40+ GC-like)_MK167+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB3 (B CD40+ GC-like),Bgc-CD40,scRNA,Bgc-CD40,cB3 (B CD40+ GC-like)_CD40+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB2 (B GC-like),Bgc,scRNA,Bgc,cB2 (B GC-like),B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB2 (B GC-like),Bgc-GPR183,scRNA,Bgc-GPR183,cB2 (B GC-like)_GPR183+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB2 (B GC-like),Bgc,scRNA,Bgc,cB2 (B GC-like),B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB2 (B GC-like),Bgc,scRNA,Bgc,cB2 (B GC-like),B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB3 (B CD40+ GC-like),Bgc-CD40-prolif,scRNA,Bgc-CD40-prolif,cB3 (B CD40+ GC-like)_MK167+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB3 (B CD40+ GC-like),Bgc-CD40,scRNA,Bgc-CD40,cB3 (B CD40+ GC-like)_CD40+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB3 (B CD40+ GC-like),Bgc-CD40-prolif,scRNA,Bgc-CD40-prolif,cB3 (B CD40+ GC-like)_MK167+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB3 (B CD40+ GC-like),Bgc-CD40,scRNA,Bgc-CD40,cB3 (B CD40+ GC-like)_CD40+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB3 (B CD40+ GC-like),Bgc-CD40,scRNA,Bgc-CD40,cB3 (B CD40+ GC-like)_CD40+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB2 (B GC-like),Bgc,scRNA,Bgc,cB2 (B GC-like),B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB3 (B CD40+ GC-like),Bgc-CD40-prolif,scRNA,Bgc-CD40-prolif,cB3 (B CD40+ GC-like)_MK167+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB3 (B CD40+ GC-like),Bgc-CD40-prolif,scRNA,Bgc-CD40-prolif,cB3 (B CD40+ GC-like)_MK167+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB3 (B CD40+ GC-like),Bgc-CD40,scRNA,Bgc-CD40,cB3 (B CD40+ GC-like)_CD40+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB3 (B CD40+ GC-like),Bgc-CD40,scRNA,Bgc-CD40,cB3 (B CD40+ GC-like)_CD40+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB2 (B GC-like),Bgc-GPR183,scRNA,Bgc-GPR183,cB2 (B GC-like)_GPR183+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB3 (B CD40+ GC-like),Bgc-CD40-prolif,scRNA,Bgc-CD40-prolif,cB3 (B CD40+ GC-like)_MK167+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB2 (B GC-like),Bgc,scRNA,Bgc,cB2 (B GC-like),B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB2 (B GC-like),Bgc,scRNA,Bgc,cB2 (B GC-like),B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB3 (B CD40+ GC-like),Bgc-CD40-prolif,scRNA,Bgc-CD40-prolif,cB3 (B CD40+ GC-like)_MK167+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB1 (B IGD+IgM+),B,scRNA,B,cB1 (B IGD+IgM+),B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB1 (B IGD+IgM+),B,scRNA,B,cB1 (B IGD+IgM+),B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB3 (B CD40+ GC-like),Bgc-CD40-prolif,scRNA,Bgc-CD40-prolif,cB3 (B CD40+ GC-like)_MK167+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB3 (B CD40+ GC-like),Bgc-CD40-prolif,scRNA,Bgc-CD40-prolif,cB3 (B CD40+ GC-like)_MK167+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB3 (B CD40+ GC-like),Bgc-CD40,scRNA,Bgc-CD40,cB3 (B CD40+ GC-like)_CD40+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB3 (B CD40+ GC-like),Bgc-CD40,scRNA,Bgc-CD40,cB3 (B CD40+ GC-like)_CD40+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB2 (B GC-like),Bgc-GPR183,scRNA,Bgc-GPR183,cB2 (B GC-like)_GPR183+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB3 (B CD40+ GC-like),Bgc-CD40,scRNA,Bgc-CD40,cB3 (B CD40+ GC-like)_CD40+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB3 (B CD40+ GC-like),Bgc-CD40,scRNA,Bgc-CD40,cB3 (B CD40+ GC-like)_CD40+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB3 (B CD40+ GC-like),Bgc-CD40,scRNA,Bgc-CD40,cB3 (B CD40+ GC-like)_CD40+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB3 (B CD40+ GC-like),Bgc-CD40,scRNA,Bgc-CD40,cB3 (B CD40+ GC-like)_CD40+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB3 (B CD40+ GC-like),Bgc-CD40,scRNA,Bgc-CD40,cB3 (B CD40+ GC-like)_CD40+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB3 (B CD40+ GC-like),Bgc-CD40-prolif,scRNA,Bgc-CD40-prolif,cB3 (B CD40+ GC-like)_MK167+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB2 (B GC-like),Bgc-GPR183,scRNA,Bgc-GPR183,cB2 (B GC-like)_GPR183+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB3 (B CD40+ GC-like),Bgc-CD40,scRNA,Bgc-CD40,cB3 (B CD40+ GC-like)_CD40+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB3 (B CD40+ GC-like),Bgc-CD40,scRNA,Bgc-CD40,cB3 (B CD40+ GC-like)_CD40+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB2 (B GC-like),Bgc-GPR183,scRNA,Bgc-GPR183,cB2 (B GC-like)_GPR183+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB3 (B CD40+ GC-like),Bgc-CD40,scRNA,Bgc-CD40,cB3 (B CD40+ GC-like)_CD40+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB3 (B CD40+ GC-like),Bgc-CD40,scRNA,Bgc-CD40,cB3 (B CD40+ GC-like)_CD40+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB3 (B CD40+ GC-like),Bgc-CD40,scRNA,Bgc-CD40,cB3 (B CD40+ GC-like)_CD40+,B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB2 (B GC-like),Bgc,scRNA,Bgc,cB2 (B GC-like),B,FALSE
Bcells_fineTyping_all_genes.rds,C105_T_1_1_0_c1_v2,C105,B,cB2 (B GC-like),Bgc-GPR183,scRNA,Bgc-GPR183,cB2 (B GC-like)_GPR183+,B,FALSE
